State,As Reported,Standardized
ME,Cash and Investment,Cash and Investments
ME,Board Designated and Undesignated Investments,Board Designated & Undesignated Investments
ME,"Gross Property, Plant and Equipment","Gross Property, Plant and Equipment (PP&E)"
ME,Accumulated Deprecation,Accumulated Depreciation
ME,"Net Property, Plant and Equipment","Net Property, Plant and Equipment (PP&E)"
ME,Accounts Payable and Accrued Expenses,Accounts Payable Plus Accrued Expenses
ME,Total Liabilities & Equity,Total Liabilities and Equity
ME,Due to Affiliate,Due to Affiliates
ME,Due From Affiliate,Due from Affiliates
ME,Due From Affiliates,Due from Affiliates
ME,Deprecation and Amoritization,Depreciation and Amortization
ME,Permanently Impaired Security Writedowns,Permanently Impaired Security Write Downs
ME,"Other Non Operating Revenues (Gifts, Bequests,","Other Non-Operating Revenues (Gifts, Bequests, etc.)"
ME,"Other Non Operating Revenues (Gifts,  Bequests","Other Non-Operating Revenues (Gifts, Bequests, etc.)"
ME,Other Non-Operating Revenues,"Other Non-Operating Revenues (Gifts, Bequests, etc.)"
ME,Excess of Revenue over Expenses,Excess of Revenue Over Expenses
ME,Net Assets Released for Restrictions - Capital,Net Assets Released for Restrictions
ME,Transfers from/To Affiliates,Transfers from/to Affiliates
ME,Transfers From/To Affiliates,Transfers from/to Affiliates
ME,Consolidations with Support,Consolidations with Support Organizations
ME,Free Care,Free Care (Charity Care)
ME,Bad Debt,Bad Debt (Provision for Bad Debt)
ME,Current Long Term Debt (LTD),Current Long Term Debt
ME,Long Term Debt (LTD),Long Term Debt
ME,Total Non-current Liabilities,Total Non-Current Liabilities
ME,Other Non-current Assets,Other Non-Current Assets
ME,Total Non-operating Revenue,Total Non-Operating Revenue
ME,Investment in Affiliates,Investments in Affiliates
ME,Third Party Settlements,Third Party Settlements Receivable
ME,Non Operating Revenue,Non-Operating Margin
ME,Non Operating Revenue Margin,Non-Operating Margin
ME,Days in Accounts Receivable days,Average Days in Accounts Receivable
ME,Days in Accounts Receivable,Average Days in Accounts Receivable
ME,"Average Pay Period, Current Liabilities days",Average Payment Period
ME,"Days Cash on Hand, Current days",Current Days Cash on Hand
ME,"Days Cash on Hand, Current",Current Days Cash on Hand
ME,"Days Cashon Hand, InclBoard Designated &Undesignated Investments days","Current Days Cash on Hand, Including Restricted"
ME,"Days Cash on Hand, Incl Board Designated & Undesignated Investments","Current Days Cash on Hand, Including Restricted"
ME,Average Age of Plant Depreciation Only years,Average Age of Plant
ME,Average Age Plant Depreciation Only,Average Age of Plant
ME,Average Age of Plant Depreciation Only,Average Age of Plant
ME,Cash Flow Divided by Total Debt,Cash Flow to Total Debt
ME,Debt Service Coverage rate,Debt Service Coverage Ratio
ME,Debt Service Coverage,Debt Service Coverage Ratio
ME,Debt Service Coverage Total,Debt Service Coverage Ratio
ME,Current Ratio without Board Designated & Undesignated Investments rate,Current Ratio
ME,Current Ratio without Board Designated and Undesignated Investments,Current Ratio
ME,"Days Cashon Hand, InclBoard Designated &Undesignated Investments days","Current Ratio, Including Restricted"
ME,Current Ratio with Board Designated and Undesignated Investments,"Current Ratio, Including Restricted"
ME,Total Asset Turnover rate,Total Asset Turnover
ME,Fixed Asset Turnover rate,Fixed Asset Turnover
ME,Return on Equity (,Return on Equity
ME,Return On Equity,Return on Equity
ME,Return On Assets,Return on Assets
ME,Equity Financing Ratio (,Equity Financing Ratio
ME,Debt Service Coverage rate (cid:,Debt Service Coverage
ME,Total Margin (,Total Margin
ME,Operating Margin (,Operating Margin
ME,Non Operating Revenue (,Non-Operating Margin
ME,Cash Flow Divided by Total Debt (,Cash Flow to Total Debt
ME,Debt Service Coverage rate (,Debt Service Coverage
ME,"Days Cash on Hand, Current days (",Current Days Cash on Hand
MA,Receivables Due From Affiliates,Due from Affiliates (Current)
MA,Gross Property Plant and Equipment,"Gross Property, Plant and Equipment (PP&E)"
MA,Less Accumulated Depreciation,Accumulated Depreciation
MA,Net Property Plant and Equipment,"Net Property, Plant and Equipment (PP&E)"
MA,Other Non Current Assets,Other Non-Current Assets
MA,Total Non Current Assets,Total Non-Current Assets
MA,Total Assets,Total Unrestricted Assets
MA,Estimated Third Party Settlements,Estimated Third Party Settlements (Current)
MA,Current Liabilities Due to Affiliates,Due to Affiliates (Current)
MA,Long Term Debt Net of Current Portion,Long Term Debt
MA,Non Current Liabilities Due to Affiliates,Due to Affiliates (Non-Current)
MA,Other Non Current Liabilities,Other Non-Current Liabilities
MA,Total Non Current Liabilities,Total Non-Current Liabilities
MA,Net Unrestricted Assets,Fund Balance Unrestricted
MA,Net Temporarily Restricted Assets,Temporarily Restricted Net Assets
MA,Net Permanently Restricted Assets,Permanently Restricted Net Assets
MA,Total Liabilities And Net Assets or Equity,Total Liabilities and Equity
MA,Net Assets Released From Restrictions Used for Operations,Net Assets Released for Restrictions
MA,Investment Income,Total Investment Income
