Hospital Name,State,Healthcare System,Year Failed
Bridgton Hospital,ME,Central Maine Healthcare System,
Calais Regional Hospital,ME,,
Cary Medical Center,ME,,
Central Maine Medical Center,ME,Central Maine Healthcare System,
Down East Community Hospital,ME,,
Franklin Memorial Hospital,ME,MaineHealth System,
Houlton Regional Hospital,ME,,
LincolnHealth,ME,MaineHealth System,
Maine Behavioral Health,ME,MaineHealth System,
Maine Medical Center,ME,MaineHealth System,
MaineGeneral Medical Center Augusta,ME,MaineGeneral Health System,
Mid Coast Hospital,ME,MaineHealth System,
Millinocket Regional Hospital,ME,,
Mount Desert Island Hospital,ME,,
New England Rehabilitation Hospital,ME,,
Northern Light AR Gould Hospital,ME,Northern Light Health,
Northern Light Acadia Hospital,ME,Northern Light Health,
Northern Light Blue Hill Hospital,ME,Northern Light Health,
Northern Light C.A. Dean Hospital,ME,Northern Light Health,
Northern Light Eastern Maine Medical Center,ME,Northern Light Health,
Northern Light Inland Hospital,ME,Northern Light Health,2025
Northern Light Maine Coast Hospital,ME,Northern Light Health,
Northern Light Mayo Hospital,ME,Northern Light Health,
Northern Light Mercy Hospital,ME,Northern Light Health,
Northern Light Sebasticook Valley Hospital,ME,Northern Light Health,
Northern Maine Medical Center,ME,,
Pen Bay Medical Center,ME,MaineHealth System,
Penobscot Valley Hospital,ME,,
Redington-Fairview General Hospital,ME,,
Rumford Hospital,ME,Central Maine Healthcare System,
Southern Maine Health Care,ME,MaineHealth System,
St. Joseph Hospital,ME,,
St. Mary‚ Regional Medical Center,ME,,
Stephens Memorial Hospital,ME,MaineHealth System,
Waldo County General Hospital,ME,MaineHealth System,
York Hospital,ME,,
Parkview Adventist Medical Center,ME,,2015
St. Andrews Hospital,ME,,2013
Anna Jaques Hospital,MA,Beth Israel Lahey Health,
Athol Memorial Hospital,MA,"Heywood Healthcare System, Inc.",
Baystate Franklin Medical Center,MA,"Baystate Health, Inc.",
Baystate Medical Center,MA,"Baystate Health, Inc.",
Baystate Noble Hospital,MA,"Baystate Health, Inc.",
Baystate Wing Hospital,MA,"Baystate Health, Inc.",
Berkshire Medical Center,MA,"Berkshire Health Systems, Inc",
Beth Israel Deaconess Hospital - Milton,MA,Beth Israel Lahey Health,
Beth Israel Deaconess Hospital - Needham,MA,Beth Israel Lahey Health,
Beth Israel Deaconess Hospital - Plymouth,MA,Beth Israel Lahey Health,
Beth Israel Deaconess Medical Center,MA,Beth Israel Lahey Health,
Boston Children's Hospital,MA,Boston Children's Hospital and Subsidiaries,
Boston Medical Center,MA,"Boston Medical Center Health System, Inc.",
Brigham and Women's Faulkner Hospital,MA,Mass General Brigham,
Brigham and Women's Hospital,MA,Mass General Brigham,
Cambridge Health Alliance,MA,Cambridge Health Alliance,
Cape Cod Hospital,MA,"Cape Cod Healthcare, Inc.",
Cooley Dickinson Hospital,MA,Mass General Brigham,
Dana-Farber Cancer Institute,MA,"Dana-Farber Cancer Institute, Inc. and Subsidiaries",
Emerson Hospital,MA,"Emerson Health System, Inc. and Subsidiaries",
Fairview Hospital,MA,"Berkshire Health Systems, Inc",
Falmouth Hospital,MA,"Cape Cod Healthcare, Inc.",
Harrington Memorial Hospital,MA,UMass  Memorial Health Care. Inc.,
HealthAlliance-Clinton Hospital,MA,UMass  Memorial Health Care. Inc.,
Heywood Hospital,MA,"Heywood Healthcare System, Inc.",
Holyoke Medical Center,MA,"Valley Health System, Inc.",
Lahey Hospital & Medical Center,MA,Beth Israel Lahey Health,
Lawrence General Hospital,MA,Lawrence General Hospital and Affiliates,
Lowell General Hospital,MA,Tufts Medicine,
Marlborough Hospital,MA,UMass  Memorial Health Care. Inc.,
Martha's Vineyard Hospital,MA,Mass General Brigham,
Massachusetts Eye and Ear Infirmary,MA,Mass General Brigham,
Massachusetts General Hospital,MA,Mass General Brigham,
Melrose-Wakefield Healthcare,MA,Tufts Medicine,
Mercy Medical Center,MA,Trinity Health,
MetroWest Medical Center,MA,Tenet Healthcare Corporation,
Milford Regional Medical Center,MA,"Milford Regional Medical Center, Inc. and Affiliates",
Morton Hospital,MA,"Steward Health Care Systems, LLC",
Mount Auburn Hospital,MA,Beth Israel Lahey Health,
Nantucket Cottage Hospital,MA,Mass General Brigham,
Nashoba Valley Medical Center,MA,"Steward Health Care Systems, LLC",2024
New England Baptist Hospital,MA,Beth Israel Lahey Health,
Newton-Wellesley Hospital,MA,Mass General Brigham,
North Adams Regional Hospital,MA,"Berkshire Health Systems, Inc",
North Shore Medical Center,MA,Mass General Brigham,
Northeast Hospital,MA,Beth Israel Lahey Health,
Saint Vincent Hospital,MA,Tenet Healthcare Corporation,
Shriners Hospitals for Children Boston,MA,Shriners Hospitals for Children,
Signature Healthcare Brockton Hospital,MA,Signature Healthcare Corporations,
South Shore Hospital,MA,South Shore Health and Educational Corporation and Subsidiaries,
Southcoast Hospitals Group,MA,"Southcoast Health Systems, Inc.",
Steward Carney Hospital,MA,"Steward Health Care Systems, LLC",2024
Steward Good Samaritan Medical Center,MA,"Steward Health Care Systems, LLC",
Steward Holy Family Hospital,MA,"Steward Health Care Systems, LLC",
Steward Norwood Hospital,MA,"Steward Health Care Systems, LLC",2024
Steward Saint Anne's Hospital,MA,"Steward Health Care Systems, LLC",
Steward St. Elizabeth's Medical Center,MA,"Steward Health Care Systems, LLC",
Sturdy Memorial Hospital,MA,"Sturdy Memorial Foundation, Inc. and Affiliates",
Tufts Medical Center,MA,Tufts Medicine,
UMass Memorial Medical Center,MA,UMass  Memorial Health Care. Inc.,
Winchester Hospital,MA,Beth Israel Lahey Health,
Baystate Medical Practice,MA,"Baystate Health, Inc.",
Berkshire Faculty Services,MA,"Berkshire Health Systems, Inc",
Berkshire Orthopaedic Associates,MA,"Berkshire Health Systems, Inc",
BMC Faculty Practice Foundation,MA,"Boston Medical Center Health System, Inc.",
Boston University Affiliated Physicians,MA,"Boston Medical Center Health System, Inc.",
Brigham and Women's Physicians Organization,MA,Mass General Brigham,
CD Practice Associates,MA,Mass General Brigham,
Circle Health Physicians Inc,MA,Tufts Medicine,
"Coastal Medical Associates, Inc",MA,South Shore Health and Educational Corporation and Subsidiaries,
"Community Medical Associates, Inc.",MA,Lawrence General Hospital and Affiliates,
Community Physicians Associates,MA,Beth Israel Lahey Health,
Hallmark Health Medical Associates,MA,Tufts Medicine,
Harvard Medical Faculty Physicians,MA,Beth Israel Lahey Health,
Heywood Medical Group,MA,"Heywood Healthcare System, Inc.",
"Jordan Physician Associates, Inc",MA,Beth Israel Lahey Health,
Lahey Clinic,MA,Beth Israel Lahey Health,
Lahey Physician Community Org,MA,Beth Israel Lahey Health,
"Massachusetts Eye and Ear Associates, Inc",MA,Mass General Brigham,
Massachusetts General Hospital Physicians Organization,MA,Mass General Brigham,
Medical Affiliates of Cape Cod Inc,MA,"Cape Cod Healthcare, Inc.",
"Mercy Inpatient Medical Associates, Inc",MA,Trinity Health,
"Mercy Medical Group,Inc.",MA,Trinity Health,
Mercy Specialist Physicians,MA,Trinity Health,
MetroWest Physicians Services,MA,Tenet Healthcare Corporation,
Milford Regional Physician Group,MA,"Milford Regional Medical Center, Inc. and Affiliates",
Mount Auburn Professional Services,MA,Beth Israel Lahey Health,
Nantucket Physician Organization,MA,Mass General Brigham,
New England Baptist Medical Associates,MA,Beth Israel Lahey Health,
Newton-Wellesley Physician Hospital Group,MA,Mass General Brigham,
North Shore Physicians Group,MA,Mass General Brigham,
Northeast Medical Practice,MA,Beth Israel Lahey Health,
Partners Community Physician Organization,MA,Mass General Brigham,
"Physicians Organization at Children's Hospital, Inc. and Foundation",MA,Boston Children's Hospital and Subsidiaries,
"Pioneer Valley Cardiology Associates, Inc",MA,Trinity Health,
"Riverbend Medical Group, Inc",MA,Trinity Health,
Saint Vincent Medical Company,MA,Tenet Healthcare Corporation,
Seacoast Affiliated Group Practice,MA,Beth Israel Lahey Health,
Signature Healthcare Medical Group,MA,Signature Healthcare Corporations,
Southcoast Physician Group,MA,"Southcoast Health Systems, Inc.",
Steward Medical Group,MA,"Steward Health Care Systems, LLC",
"Sturdy Memorial Associates, Inc",MA,"Sturdy Memorial Foundation, Inc. and Affiliates",
The Affiliated Physicians Group,MA,Beth Israel Lahey Health,
Tufts Medical Center Physician Organization,MA,Tufts Medicine,
UMass Memorial Medical Group Inc.,MA,UMass  Memorial Health Care. Inc.,
Western Mass Physician Associates,MA,"Valley Health System, Inc.",
Winchester Physician Associates,MA,Beth Israel Lahey Health,
