Hospital,Measure,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Bridgton Hospital,Total Current Assets,39031647,16022210,7162392,14980470,7391265
Bridgton Hospital,Cash and Investments,31610210,7451829,22114,-47378,-6111
Bridgton Hospital,Current Assets Whose Use is Limited,420714,430326,432066,441041,447166
Bridgton Hospital,Net Patient Accounts Receivable,4920670,6879540,5666000,6320783,5728360
Bridgton Hospital,Due From Affiliates,306683,1,,6012661,717698
Bridgton Hospital,Third Party Settlements,1001802,422219,144278,786091,-488134
Bridgton Hospital,Other Accounts Receivable,,,,,
Bridgton Hospital,Inventory,557150,630954,634328,546490,422056
Bridgton Hospital,Other Current Assets,214418,207341,263606,920782,570230
Bridgton Hospital,Total Non-Current Assets,22872512,23195721,20000401,19333518,24332328
Bridgton Hospital,Trustee Held Investments,786166,786166,533181,539735,541622
Bridgton Hospital,Board Designated & Undesignated Investments,6256372,7888539,7647707,8284833,13115971
Bridgton Hospital,Due from Affiliates,,,,,
Bridgton Hospital,Investment in Affiliates,,,,,
Bridgton Hospital,Other Non-Current Assets,1464127,1871053,639764,122626,11199
Bridgton Hospital,"Gross Property, Plant and Equipment (PP&E)",43696158,42950067,43012248,43523684,44822247
Bridgton Hospital,Accumulated Deprecation,29330311,30300104,31832499,33137360,34158711
Bridgton Hospital,"Net Property, Plant and Equipment (PP&E)",14365847,12649963,11179749,10386324,10663536
Bridgton Hospital,Total Unrestricted Assets,61904159,39217931,27162793,34313988,31723593
Bridgton Hospital,Total Current Liabilities,12564630,11207692,9048066,8021784,6160057
Bridgton Hospital,Current Long Term Debt (LTD),468826,409878,444260,477433,479445
Bridgton Hospital,Accounts Payable Plus Accrued Expenses,3845286,3136917,4211682,6473554,2914611
Bridgton Hospital,Estimated Third Party Settlements,6294803,7630742,4097680,929255,2705111
Bridgton Hospital,Due to Affiliates,,,,,
Bridgton Hospital,Other Current Liabilities,1955715,30155,294444,141542,60890
Bridgton Hospital,Total Non-Current Liabilities,6748491,7591431,5711835,5116506,4739437
Bridgton Hospital,Long Term Debt (LTD),5874850,5488099,4516045,4262046,3690567
Bridgton Hospital,Estimated Third Party Settlements,,667109,364000,,
Bridgton Hospital,Due to Affiliate,,,,,
Bridgton Hospital,Self Insurance Fund,,,,,
Bridgton Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Bridgton Hospital,Other Non-Current Liabilities,873641,1436223,831790,854460,1048870
Bridgton Hospital,Fund Balance Unrestricted,42591578,20418808,12402892,21175698,20824099
Bridgton Hospital,Total Liabilities and Equity,61904699,39217931,27162793,34313988,31723593
Bridgton Hospital,Total Restricted Assets,3273300,3097932,3152613,3461074,3396604
Bridgton Hospital,Cash and Investments,3273300,3097932,3152613,3461074,3396604
Bridgton Hospital,Receivables,,,,,
Bridgton Hospital,Other Assets,,,,,
Bridgton Hospital,Total Restricted Liabilities and Equity,3273300,3097932,3152613,3461074,3396604
Bridgton Hospital,Total Restricted Fund Balance,3273300,3097932,3152613,3461074,3396604
Bridgton Hospital,Total Liabilities,,,,,
Bridgton Hospital,Temporarily Restricted Net Assets,1276724,1075893,1058198,473416,205015
Bridgton Hospital,Permanently Restricted Net Assets,1996576,2022039,2094415,2987658,3191589
Bridgton Hospital,Total Gross Patient Service Revenue,93175963,109433194,113446009,121757260,129484139
Bridgton Hospital,Gross Inpatient Service Revenue,16024580,16626266,19692435,19931048,20688329
Bridgton Hospital,Gross Outpatient Service Revenue,77151383,92806928,93753574,101826212,108795810
Bridgton Hospital,Free Care (Charity Care),354149,197736,137088,24450,344821
Bridgton Hospital,Bad Debt (Provision for Bad Debt),5229329,5343570,5472460,5168860,5732654
Bridgton Hospital,Contractuals,44276029,53137642,51227288,59758295,72993798
Bridgton Hospital,Changes in Prior Year Estimated/Final Settlements,,,,,
Bridgton Hospital,Net Patient Service Revenue,43316456,50754246,56609173,56805655,50412866
Bridgton Hospital,Other Operating Revenue,4609350,2861095,3632107,3891004,2399459
Bridgton Hospital,Total Operating Revenue,47925806,53615341,60241280,60696659,52812325
Bridgton Hospital,Total Operating Expenses,45988382,48446031,50655713,49342798,48863678
Bridgton Hospital,Deprecation and Amoritization,2136401,2189169,1897612,1695467,1409927
Bridgton Hospital,Interest,264618,194534,165085,117732,116197
Bridgton Hospital,Advertising Expenses,,394,300,,3719
Bridgton Hospital,Allowed Advertising Expenses,,,,,3719
Bridgton Hospital,Non-Allowed Advertising Expenses,,394,300,,
Bridgton Hospital,Salaries and Benefits,26856166,27165454,27620354,26855074,29000977
Bridgton Hospital,Other Operating Expenses,16731197,18896480,20972362,20674525,18332858
Bridgton Hospital,Net Operating Income,1937424,5169310,9585567,11353861,3948647
Bridgton Hospital,Total Non-Operating Revenue,1491181,1732782,133369,4307124,411537
Bridgton Hospital,Total Investment Income,1491181,1679109,101963,222436,197607
Bridgton Hospital,Interest and Dividends,225560,176746,195686,378989,349055
Bridgton Hospital,Realized Gains/Losses on Sales of Securities,1265621,1502363,-93723,-156553,-151448
Bridgton Hospital,Permanently Impaired Security Write Downs,,,,,
Bridgton Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Bridgton Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Bridgton Hospital,"Other Non Operating Revenues (Gifts, Bequests,",,53673,31406,4084688,213930
Bridgton Hospital,Excess of Revenue Over Expenses,3428605,6902092,9718936,15660985,4360184
Bridgton Hospital,Extraordinary Gains/Losses,33395,,,,
Bridgton Hospital,Total Surplus/Deficit,3462000,6902092,9718936,15660985,4360184
Bridgton Hospital,Total Change in Unrestricted Net Assets,2509823,-22172770,-8015916,8772807,-351600
Bridgton Hospital,Net Assets Released for Restrictions - Capital,199650,,,220955,551007
Bridgton Hospital,Unrealized Gains/Losses on Investments,-1151827,117046,-1183769,722428,1337407
Bridgton Hospital,Minimum Pension Liability Adjustment,,,,,
Bridgton Hospital,Transfers from/To Affiliates,,-29191908,-16551083,-7831561,-6600198
Bridgton Hospital,Mergers,,,,,
Bridgton Hospital,Consolidations with Support Organizations,,,,,
Bridgton Hospital,Other Changes,,,,,
Calais Regional Hospital,Total Current Assets,7405059,8474912,7939848,7663079,7244615
Calais Regional Hospital,Cash and Investments,1802661,6259425,4759204,5192601,5402619
Calais Regional Hospital,Current Assets Whose Use is Limited,164816,12931,43965,75000,106034
Calais Regional Hospital,Net Patient Accounts Receivable,1500839,1421222,1463485,1136871,1065934
Calais Regional Hospital,Due From Affiliates,,,,,
Calais Regional Hospital,Third Party Settlements,2627733,,1114544,602637,
Calais Regional Hospital,Other Accounts Receivable,,248354,1082,97382,23159
Calais Regional Hospital,Inventory,,366124,313149,352801,421825
Calais Regional Hospital,Other Current Assets,1309010,166856,244419,205787,225044
Calais Regional Hospital,Total Non-Current Assets,12200701,5479957,5947135,6457666,6676294
Calais Regional Hospital,Trustee Held Investments,653982,,,,
Calais Regional Hospital,Board Designated & Undesignated Investments,302579,,,,
Calais Regional Hospital,Due from Affiliates,,,,,
Calais Regional Hospital,Investment in Affiliates,,,,,
Calais Regional Hospital,Other Non-Current Assets,735683,,,,322728
Calais Regional Hospital,"Gross Property, Plant and Equipment (PP&E)",31040807,5607615,6511456,7635597,8263199
Calais Regional Hospital,Accumulated Deprecation,20532350,127658,564321,1177931,1909633
Calais Regional Hospital,"Net Property, Plant and Equipment (PP&E)",10508457,5479957,5947135,6457666,6353566
Calais Regional Hospital,Total Unrestricted Assets,19605760,13954869,13886983,14120745,13920909
Calais Regional Hospital,Total Current Liabilities,3530767,3929702,3032290,3010375,2381542
Calais Regional Hospital,Current Long Term Debt (LTD),,257775,371837,460701,607601
Calais Regional Hospital,Accounts Payable Plus Accrued Expenses,3530767,2439147,2475549,2549674,2700914
Calais Regional Hospital,Estimated Third Party Settlements,,62687,,,-926973
Calais Regional Hospital,Due to Affiliates,,,,,
Calais Regional Hospital,Other Current Liabilities,,1170093,184904,,
Calais Regional Hospital,Total Non-Current Liabilities,20292255,7279752,7020951,7008754,6704740
Calais Regional Hospital,Long Term Debt (LTD),,7279752,7020951,7008754,6704740
Calais Regional Hospital,Estimated Third Party Settlements,,,,,
Calais Regional Hospital,Due to Affiliate,,,,,
Calais Regional Hospital,Self Insurance Fund,,,,,
Calais Regional Hospital,Accrued Pension and Post Retiree Health Benefits,735683,,,,
Calais Regional Hospital,Other Non-Current Liabilities,19556572,,,,
Calais Regional Hospital,Fund Balance Unrestricted,-4217262,2745415,3833742,4101616,4834627
Calais Regional Hospital,Total Liabilities and Equity,19605760,13954869,13886983,14120745,13920909
Calais Regional Hospital,Total Restricted Assets,1835202,,37725,,436716
Calais Regional Hospital,Cash and Investments,1835202,,37725,,436716
Calais Regional Hospital,Receivables,,,,,
Calais Regional Hospital,Other Assets,,,,,
Calais Regional Hospital,Total Restricted Liabilities and Equity,1835202,,37725,,436716
Calais Regional Hospital,Total Restricted Fund Balance,1835202,,37725,,436716
Calais Regional Hospital,Total Liabilities,,,,,
Calais Regional Hospital,Temporarily Restricted Net Assets,1263426,,,,
Calais Regional Hospital,Permanently Restricted Net Assets,571776,,37725,,436716
Calais Regional Hospital,Total Gross Patient Service Revenue,38130000,18312407,42206196,46194506,51551988
Calais Regional Hospital,Gross Inpatient Service Revenue,6500696,2289469,4846623,5337667,3636304
Calais Regional Hospital,Gross Outpatient Service Revenue,31629304,16022938,37359573,40856839,47915684
Calais Regional Hospital,Free Care (Charity Care),755245,8881,41533,52728,55563
Calais Regional Hospital,Bad Debt (Provision for Bad Debt),1004653,575672,1361419,1351167,1557299
Calais Regional Hospital,Contractuals,12361804,7265120,16560903,19284040,22515577
Calais Regional Hospital,Changes in Prior Year Estimated/Final Settlements,-171000,,-370538,,
Calais Regional Hospital,Net Patient Service Revenue,24179298,10462734,24612879,25506571,27423549
Calais Regional Hospital,Other Operating Revenue,5955619,870102,1595987,1866689,1448283
Calais Regional Hospital,Total Operating Revenue,30134917,11332836,26208866,27373260,28871832
Calais Regional Hospital,Total Operating Expenses,26072350,10696900,25285999,27143111,28302835
Calais Regional Hospital,Deprecation and Amoritization,861916,127658,439938,618995,731701
Calais Regional Hospital,Interest,,31075,140529,200603,188250
Calais Regional Hospital,Advertising Expenses,,,,,30526
Calais Regional Hospital,Allowed Advertising Expenses,,,,,4587
Calais Regional Hospital,Non-Allowed Advertising Expenses,,,,,25939
Calais Regional Hospital,Salaries and Benefits,14559448,7346790,18417910,19402649,20130154
Calais Regional Hospital,Other Operating Expenses,10650986,3191377,6287622,6920864,7222204
Calais Regional Hospital,Net Operating Income,4062567,635936,922867,230149,568997
Calais Regional Hospital,Total Non-Operating Revenue,46250,2109479,99077,,164014
Calais Regional Hospital,Total Investment Income,14751,,,,164014
Calais Regional Hospital,Interest and Dividends,14751,,,,164014
Calais Regional Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Calais Regional Hospital,Permanently Impaired Security Write Downs,,,,,
Calais Regional Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Calais Regional Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Calais Regional Hospital,"Other Non Operating Revenues (Gifts, Bequests,",31499,2109479,99077,,
Calais Regional Hospital,Excess of Revenue Over Expenses,4108817,2745415,1021944,230149,733011
Calais Regional Hospital,Extraordinary Gains/Losses,-780255,,,,
Calais Regional Hospital,Total Surplus/Deficit,3328562,2745415,1021944,230149,733011
Calais Regional Hospital,Total Change in Unrestricted Net Assets,3328562,2745415,1088328,267874,733011
Calais Regional Hospital,Net Assets Released for Restrictions - Capital,,,,37725,
Calais Regional Hospital,Unrealized Gains/Losses on Investments,,,,,
Calais Regional Hospital,Minimum Pension Liability Adjustment,,,,,
Calais Regional Hospital,Transfers from/To Affiliates,,,,,
Calais Regional Hospital,Mergers,,,,,
Calais Regional Hospital,Consolidations with Support Organizations,,,,,
Calais Regional Hospital,Other Changes,,,66384,,
Cary Medical Center,Total Current Assets,34938221,31184497,24735941,22736495,24236801
Cary Medical Center,Cash and Investments,20020236,17993705,6128476,4401048,2838799
Cary Medical Center,Current Assets Whose Use is Limited,,,,,
Cary Medical Center,Net Patient Accounts Receivable,8081624,6510763,12165438,11681921,13145544
Cary Medical Center,Due From Affiliates,,,,,
Cary Medical Center,Third Party Settlements,3622389,3046946,2197530,2404336,3767566
Cary Medical Center,Other Accounts Receivable,993318,1022237,1221479,1370180,1098879
Cary Medical Center,Inventory,,,,,
Cary Medical Center,Other Current Assets,2220654,2610846,3023018,2879010,3386013
Cary Medical Center,Total Non-Current Assets,11426520,13546322,13751654,15163114,14366743
Cary Medical Center,Trustee Held Investments,,,,,
Cary Medical Center,Board Designated & Undesignated Investments,4407658,4355004,4088190,4270768,4407904
Cary Medical Center,Due from Affiliates,,,,,
