Organization,Measure,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Acadia Hospital Corporation,Total Current Assets,12514651,15731485,16896370,20158972,24410672
Acadia Hospital Corporation,Cash and Investment,8010353,11483440,13458683,16435229,18298204
Acadia Hospital Corporation,Current Assets Whose Use is Limited,357945,377250,377234,377033,377377
Acadia Hospital Corporation,Net Patient Accounts Receivable,2430792,1785791,1797630,2291383,2944772
Acadia Hospital Corporation,Due from Affiliates,325532,294439,225547,269231,219634
Acadia Hospital Corporation,Third Party Settlements Receivable,648030,268433,241461,25358,2168844
Acadia Hospital Corporation,Other Accounts Receivable,276497,295540,122776,104393,72181
Acadia Hospital Corporation,Inventory,199430,210772,146188,138513,154746
Acadia Hospital Corporation,Other Current Assets,266072,1015820,526851,517832,174914
Acadia Hospital Corporation,Total Non-Current Assets,28042879,25340886,29940462,23645859,24110398
Acadia Hospital Corporation,Trustee Held Investments,30892,10519,26727,30646,25156
Acadia Hospital Corporation,Board Designated and Undesignated Investments,12190518,12223170,12064296,12104283,12158641
Acadia Hospital Corporation,Due From Affiliates,,,,,
Acadia Hospital Corporation,Investments in Affiliates,,,,,
Acadia Hospital Corporation,Other Non-current Assets,5160192,3079417,7993657,1619294,1369384
Acadia Hospital Corporation,"Gross Property, Plant and Equipment",,29708842,29981939,30932848,31812297
Acadia Hospital Corporation,Accumulated Depreciation,19047565,19954159,21077066,21920661,22884853
Acadia Hospital Corporation,"Net Property, Plant and Equipment",,10661277,10027780,9855782,9891636
Acadia Hospital Corporation,Total Unrestricted Assets,40557530,41072371,46836832,43804831,48521070
Acadia Hospital Corporation,Total Current Liabilities,6509825,9226759,12433239,6579691,13572988
Acadia Hospital Corporation,Current Long Term Debt,,928626,1063681,1093133,1087809
Acadia Hospital Corporation,Accounts Payable and Accrued Expenses,4042960,3563391,3507997,3802618,4153323
Acadia Hospital Corporation,Estimated Third Party Settlements,1283954,4394821,7582518,1503067,7851974
Acadia Hospital Corporation,Due to Affiliate,254285,204866,249591,186197,442691
Acadia Hospital Corporation,Other Current Liabilities,,,,,
Acadia Hospital Corporation,Total Non-current Liabilities,28102703,24215793,23977897,21534539,19527056
Acadia Hospital Corporation,Long Term Debt,11146805,10119774,8958804,7803159,6610323
Acadia Hospital Corporation,Estimated Third Party Settlements,8383059,5128067,5698286,5237097,4569580
Acadia Hospital Corporation,Due to Affiliate,,,,,
Acadia Hospital Corporation,Self Insurance Fund,,,,,
Acadia Hospital Corporation,Accrued Pension and Post Retiree Health Benefits,8572839,8967952,9320807,8494283,8347153
Acadia Hospital Corporation,Other Non-Current Liabilities,,,,,
Acadia Hospital Corporation,Fund Balance Unrestricted,5945002,7629818,10425696,15690601,15421026
Acadia Hospital Corporation,Total Liabilities & Equity,40557530,41072370,46836832,43804831,48521070
Acadia Hospital Corporation,Total Restricted Assets,531296,442524,346471,436839,431768
Acadia Hospital Corporation,Cash and Investments,531296,442524,346471,436839,431768
Acadia Hospital Corporation,Receivables,,,,,
Acadia Hospital Corporation,Other Assets,,,,,
Acadia Hospital Corporation,Total Restricted Liabilities and Equity,531296,442524,346471,436839,431768
Acadia Hospital Corporation,Total Restricted Fund Balance,531296,442524,346471,436839,431768
Acadia Hospital Corporation,Total Liabilities,,,,,
Acadia Hospital Corporation,Temporarily Restricted Net Assets,460754,369362,265889,345507,318766
Acadia Hospital Corporation,Permanently Restricted Net Assets,70542,73162,80582,91332,113002
Acadia Hospital Corporation,Total Gross Patient Service Revenue,,84560940,85704944,77280048,76606357
Acadia Hospital Corporation,Gross Inpatient Service Revenue,49071606,57309366,50138034,50263405,54714160
Acadia Hospital Corporation,Gross Outpatient Service Revenue,35489334,28395578,27142014,26342952,27062833
Acadia Hospital Corporation,Free Care,,,18917657,17893240,15943288
Acadia Hospital Corporation,Bad Debt,,,,,3090087
Acadia Hospital Corporation,Contractuals,16120568,19358101,14899956,13698827,22751066
Acadia Hospital Corporation,Changes in Prior Year Estimated/Final Settlements,-2512222,-1418523,-552604,-3489323,701938
Acadia Hospital Corporation,Net Patient Service Revenue,48944850,47568924,44899726,47458223,46716618
Acadia Hospital Corporation,Other Operating Revenue,1831701,2249659,2897657,2681941,2991136
Acadia Hospital Corporation,Total Operating Revenue,50776551,49818583,47797383,50140164,49707754
Acadia Hospital Corporation,Total Operating Expenses,49301737,47663626,45731719,45390628,48563198
Acadia Hospital Corporation,Depreciation and Amortization,1114940,1175452,1137349,1041768,986903
Acadia Hospital Corporation,Interest,659007,447848,434305,391841,351771
Acadia Hospital Corporation,Advertising Expenses,16326,19929,21834,30619,38461
Acadia Hospital Corporation,Allowed Advertising Expenses,3062,11549,1275,399,
Acadia Hospital Corporation,Non-Allowed Advertising Expenses,13264,8380,20559,30220,38461
Acadia Hospital Corporation,Salaries and Benefits,33457148,31388634,32522231,32662360,32928616
Acadia Hospital Corporation,Other Operating Expenses,14054316,14631763,11616000,11264040,14257447
Acadia Hospital Corporation,Net Operating Income,1474814,2154957,2065664,4749536,1144556
Acadia Hospital Corporation,Total Non-operating Revenue,48120,392756,434621,433762,480736
Acadia Hospital Corporation,Total Investment Income,48120,392756,434621,435303,480736
Acadia Hospital Corporation,Interest and Dividends,426980,396835,432729,427898,469448
Acadia Hospital Corporation,Realized Gains/Losses on Sales of Securities,-378860,-4079,1892,7405,11288
Acadia Hospital Corporation,Permanently Impaired Security Writedowns,,,,,
Acadia Hospital Corporation,Gains/Losses on Joint Ventures/Equity Investments,,,,-1541,
Acadia Hospital Corporation,Permanently Impaired Writedowns of Other Assets,,,,,
Acadia Hospital Corporation,Other Non-Operating Revenues,,,,,
Acadia Hospital Corporation,Excess of Revenue over Expenses,1522934,2547713,2500285,5183298,1625292
Acadia Hospital Corporation,Extraordinary Gains/Losses,,,,,
Acadia Hospital Corporation,Total Surplus/Deficit,1522934,2547713,2500285,5183298,1625292
Acadia Hospital Corporation,Total Change in Unrestricted Net Assets,2029531,1684816,2795877,5264907,-269576
Acadia Hospital Corporation,Net Assets Released for Restrictions,,,123342,173357,123633
Acadia Hospital Corporation,Unrealized Gains/Losses on Investments,133656,-146033,82857,-346040,-176265
Acadia Hospital Corporation,Minimum Pension Liability Adjustment,203307,-849109,439231,893113,-40224
Acadia Hospital Corporation,Transfers From/To Affiliates,44970,-41060,-351605,-530911,-1715470
Acadia Hospital Corporation,Mergers,,,,,
Acadia Hospital Corporation,Consolidations with Support,,,,,
Acadia Hospital Corporation,Other Changes,1322,-52,1476,1400,6589
"Aroostook Medical Center, The (TAMC)",Total Current Assets,19250894,22691626,20013065,23219463,25066798
"Aroostook Medical Center, The (TAMC)",Cash and Investment,2177263,6271544,4447174,3040654,2697143
"Aroostook Medical Center, The (TAMC)",Current Assets Whose Use is Limited,376798,423931,373849,416331,405813
"Aroostook Medical Center, The (TAMC)",Net Patient Accounts Receivable,7543084,8057257,9747478,11478562,14422174
"Aroostook Medical Center, The (TAMC)",Due from Affiliates,8925,10953,37185,229720,94265
"Aroostook Medical Center, The (TAMC)",Third Party Settlements Receivable,5776893,3596180,1767481,2149301,1942031
"Aroostook Medical Center, The (TAMC)",Other Accounts Receivable,846428,433665,564215,2052639,2106219
"Aroostook Medical Center, The (TAMC)",Inventory,1606230,1922720,1788058,1908127,1930222
"Aroostook Medical Center, The (TAMC)",Other Current Assets,915273,1975376,1287625,1944129,1468931
"Aroostook Medical Center, The (TAMC)",Total Non-Current Assets,46726678,47707515,54265150,48598571,45759734
"Aroostook Medical Center, The (TAMC)",Trustee Held Investments,3267620,3641618,3888706,4972115,5459595
"Aroostook Medical Center, The (TAMC)",Board Designated and Undesignated Investments,4595214,5886332,6765205,10252838,2063796
"Aroostook Medical Center, The (TAMC)",Due From Affiliates,43271,,,,
"Aroostook Medical Center, The (TAMC)",Investments in Affiliates,,,,,
"Aroostook Medical Center, The (TAMC)",Other Non-current Assets,10123812,10388430,15463657,5516539,7501726
"Aroostook Medical Center, The (TAMC)","Gross Property, Plant and Equipment",,75541283,76413490,79076162,81362464
"Aroostook Medical Center, The (TAMC)",Accumulated Depreciation,46844522,48622355,50928580,53505385,55190649
