Hospital,Ratio,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
Acadia Hospital Corporation,Current Ratio with Board Designated and Undesignated Investments,1.501,0.76,0.902,0.972,1.585
Acadia Hospital Corporation,Current Ratio without Board Designated and Undesignated Investments,0.976,0.353,0.496,0.46,0.578
Acadia Hospital Corporation,Days in Accounts Receivable,24.38,15.637,16.829,26.818,22.555
Acadia Hospital Corporation,Acid Test,0.28,0.108,0.247,0.23,0.178
Acadia Hospital Corporation,"Days Cash on Hand, Current",41.306,17.038,35.751,36.311,27.063
Acadia Hospital Corporation,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",118.698,81.178,94.283,117.271,180.554
Acadia Hospital Corporation,"Average Payment Period, Accounts Payable and Accrued Expenses",31.977,32.89,33.596,33.839,34.338
Acadia Hospital Corporation,"Average Payment Period, Current Liabilities",147.292,157.415,144.489,158.158,152.413
Acadia Hospital Corporation,Equity Financing Ratio,0.028,0.046,0.184,0.144,0.092
Acadia Hospital Corporation,Fixed Asset Financing,1.327,1.293,1.354,1.367,1.111
Acadia Hospital Corporation,Cash Flow Divided by Total Debt,0.078,0.062,0.225,0.068,0.075
Acadia Hospital Corporation,Cash Flow Divided by Total Debt with Operating Income Only,0.071,0.049,0.214,0.062,0.063
Acadia Hospital Corporation,Debt Service Coverage Total,2.057,1.821,5.015,2.001,2.249
Acadia Hospital Corporation,Debt Service Coverage Total with Operating Income Only,1.908,1.564,4.796,1.873,1.965
Acadia Hospital Corporation,Total Margin,0.034,0.02,0.134,0.033,0.04
Acadia Hospital Corporation,Operating Margin,0.028,0.01,0.127,0.029,0.03
Acadia Hospital Corporation,Non Operating Revenue Margin,0.189,0.499,0.058,0.145,0.244
Acadia Hospital Corporation,Return On Assets,0.039,0.023,0.153,0.034,0.044
Acadia Hospital Corporation,Return On Equity,1.419,0.512,0.834,0.233,0.48
Acadia Hospital Corporation,Markup,1.479,1.482,1.571,1.518,1.773
Acadia Hospital Corporation,Deductible,0.097,0.104,0.087,0.156,0.213
Acadia Hospital Corporation,Markup Adjustment for Deductible,1.34,1.333,1.438,1.289,1.406
Acadia Hospital Corporation,Reported Income Index,1.125,1.156,1.075,-1.269,-0.83
Acadia Hospital Corporation,Total Asset Turnover,1.162,1.144,1.146,1.002,1.111
Acadia Hospital Corporation,Fixed Asset Turnover,3.493,3.824,4.721,4.813,4.572
Acadia Hospital Corporation,Average Age Plant Depreciation Only,11.587,11.788,13.026,16.337,17.535
Acadia Hospital Corporation,Total Operating Expense Growth,0.043,0.086,-0.017,0.051,0.091
Acadia Hospital Corporation,Total Operating Revenue Growth,0.047,0.067,0.114,-0.055,0.093
Acadia Hospital Corporation,Realized Gains Divided by Non-Operating Revenue,,-0.002,0.001,0.011,0.001
Acadia Hospital Corporation,Realized Gains Divided by Net Income,,-0.001,0.0,0.002,0.0
Acadia Hospital Corporation,Long Term Debt to Equity,15.786,8.359,1.776,1.966,2.901
"Aroostook Medical Center, The (TAMC)",Current Ratio with Board Designated and Undesignated Investments,1.656,1.164,0.94,0.898,1.692
"Aroostook Medical Center, The (TAMC)",Current Ratio without Board Designated and Undesignated Investments,1.417,0.987,0.838,0.787,1.512
"Aroostook Medical Center, The (TAMC)",Days in Accounts Receivable,36.073,37.931,32.832,35.493,24.404
"Aroostook Medical Center, The (TAMC)",Acid Test,0.382,0.09,0.137,0.174,0.307
"Aroostook Medical Center, The (TAMC)","Days Cash on Hand, Current",22.308,5.951,12.593,16.495,18.107
"Aroostook Medical Center, The (TAMC)","Days Cash on Hand, Incl Board Designated & Undesignated Investments",36.202,17.576,22.0,26.928,28.742
"Aroostook Medical Center, The (TAMC)","Average Payment Period, Accounts Payable and Accrued Expenses",45.931,49.865,44.211,44.938,33.263
"Aroostook Medical Center, The (TAMC)","Average Payment Period, Current Liabilities",58.336,65.961,91.623,94.532,58.893
"Aroostook Medical Center, The (TAMC)",Equity Financing Ratio,0.485,0.477,0.433,0.434,0.511
"Aroostook Medical Center, The (TAMC)",Fixed Asset Financing,0.588,0.557,0.524,0.487,0.444
"Aroostook Medical Center, The (TAMC)",Cash Flow Divided by Total Debt,0.388,0.146,0.114,0.083,0.154
"Aroostook Medical Center, The (TAMC)",Cash Flow Divided by Total Debt with Operating Income Only,0.366,0.123,0.102,0.07,0.147
"Aroostook Medical Center, The (TAMC)",Debt Service Coverage Total,6.648,3.127,2.74,2.158,3.018
"Aroostook Medical Center, The (TAMC)",Debt Service Coverage Total with Operating Income Only,6.301,2.698,2.516,1.902,2.906
"Aroostook Medical Center, The (TAMC)",Total Margin,0.092,0.011,0.009,-0.006,0.011
"Aroostook Medical Center, The (TAMC)",Operating Margin,0.086,0.003,0.004,-0.012,0.009
"Aroostook Medical Center, The (TAMC)",Non Operating Revenue Margin,0.082,0.744,0.555,-0.838,0.186
"Aroostook Medical Center, The (TAMC)",Return On Assets,0.137,0.017,0.012,-0.009,0.017
"Aroostook Medical Center, The (TAMC)",Return On Equity,0.283,0.035,0.027,-0.02,0.034
"Aroostook Medical Center, The (TAMC)",Markup,2.058,2.026,2.015,1.996,2.102
"Aroostook Medical Center, The (TAMC)",Deductible,0.479,0.489,0.483,0.485,0.499
"Aroostook Medical Center, The (TAMC)",Markup Adjustment for Deductible,1.083,1.048,1.054,1.038,1.063
"Aroostook Medical Center, The (TAMC)",Reported Income Index,0.856,0.706,1.216,-2.357,0.648
"Aroostook Medical Center, The (TAMC)",Total Asset Turnover,1.487,1.446,1.327,1.323,1.52
