Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Days in Period,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Unrealized Gains/Losses,Non Operating Gains Losses,Other Non-Operating Revenue,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,Operating Margin,Non-Operating Margin,Total Margin,Average Days in Accounts Receivable,Average Payment Period,Current Ratio,Current Days Cash on Hand,Average Age of Plant,Cash Flow to Total Debt,Debt Service Coverage Ratio,Equity Financing Ratio,Long Term Debt to Total Capitalization
4066,"Baystate Health, Inc.",HHS,4066,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$168,857,000","$116,058,000",,"$233,096,000",,"$27,204,000","$433,796,000","$979,011,000","$661,923,000",,,"$23,083,000","$2,242,914,000","$1,433,783,000","$809,131,000","$166,111,000","$1,660,248,000","$2,639,259,000","$18,723,000","$34,026,000",,"$550,785,000","$603,534,000","$540,012,000",,"$283,540,000","$823,552,000","$1,427,086,000","$1,054,930,000",,"$157,243,000","$1,212,173,000","$2,639,259,000","$2,248,311,000",,"$252,914,000","$5,262,000",,"$3,997,000","$2,510,484,000","$14,004,000",,"$94,667,000","($213,315,000)","$19,581,000","($85,063,000)","$2,425,421,000","$1,378,998,000",,"$83,879,000","$25,277,000","$60,510,000","$1,013,089,000","$9,702,000","$2,571,455,000","($146,034,000)",,"$4,292,000","($141,742,000)","$357,232,000",,"$215,490,000",-2.5%,-3.5%,-6.0%,38,84,1.6,42,17,-14%,-3.0,40.0%,33.9%
3106,"Berkshire Health Systems, Inc",HHS,3106,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$211,080,378",,,"$76,611,078",,,"$33,631,204","$321,322,660","$475,181,321",,,,"$570,408,088","$374,932,340","$195,475,748","$19,584,684","$690,241,753","$1,011,564,413","$4,440,000","$59,053,844",,"$102,550,746","$166,044,590","$40,378,000",,"$54,144,846","$94,522,846","$260,567,436","$697,644,603","$45,210,930","$8,141,444","$750,996,977","$1,011,564,413","$723,270,271","$6,397,561","$153,111,955",,,"$137,767","$882,917,554","$25,136,918",,"$53,874,586",,,"$79,011,504","$961,929,058","$478,420,541",,"$22,931,470","$432,111","$13,057,020","$330,799,192",,"$845,640,334","$116,288,724",,"$706,333","$116,995,057",,,"$116,995,057",3.9%,8.2%,12.1%,39,47,1.9,94,16,41%,17.6,69.0%,5.5%
16665,Beth Israel Lahey Health,HHS,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$328,294,000","$2,225,877,000",,"$924,776,000",,,"$450,797,000","$3,929,744,000","$1,108,759,000","$101,083,000",,,"$8,054,874,000","$5,187,298,000","$2,867,576,000","$1,012,646,000","$5,090,064,000","$9,019,808,000","$40,718,000","$170,424,000",,"$1,479,376,000","$1,690,518,000","$1,983,731,000",,"$1,101,435,000","$3,085,166,000","$4,775,684,000","$3,272,270,000","$647,830,000","$324,024,000","$4,244,124,000","$9,019,808,000","$7,101,399,000",,"$1,805,785,000",,,,"$8,907,184,000","$68,117,000",,"$292,023,000","($39,152,000)","$4,605,000","$325,593,000","$9,232,777,000","$5,217,582,000",,"$310,236,000","$73,868,000","$96,604,000","$3,457,845,000",,"$9,156,135,000","$76,642,000",,"$12,834,000","$89,476,000","$32,573,000",,"$122,049,000",-2.7%,3.5%,0.8%,48,63,2.3,105,17,3%,1.5,36.3%,37.7%
14286,Boston Children's Hospital and Subsidiaries,HHS,14286,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$224,010,000",,,"$551,649,000",,,"$312,748,000","$1,088,407,000","$3,629,569,000","$64,314,000",,,"$5,875,628,000","$2,714,123,000","$3,161,505,000","$4,459,774,000","$11,315,162,000","$12,403,569,000","$418,000","$30,010,000",,"$738,467,000","$768,895,000","$2,050,162,000",,"$1,081,009,000","$3,131,171,000","$3,900,066,000","$7,628,980,000","$527,586,000","$346,937,000","$8,503,503,000","$12,403,569,000","$3,167,295,000",,"$706,141,000",,,"$86,906,000","$3,960,342,000","$290,114,000","$25,184,000","$371,854,000","($62,242,000)","$240,561,000","$865,471,000","$4,825,813,000","$2,352,321,000",,"$193,913,000","$38,318,000","$43,281,000","$1,462,166,000",,"$4,089,999,000","$735,814,000",,"$50,200,000","$786,014,000","$32,441,000",,"$818,455,000",-2.7%,17.9%,15.2%,64,70,1.4,21,14,20%,15.4,61.5%,21.2%
14287,"Boston Medical Center Health System, Inc.",HHS,14287,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$651,090,094",,"$53,959,000","$189,651,919",,"$2,432,210","$754,665,920","$1,651,799,143","$972,709,167","$6,309,002",,,"$2,462,700,904","$1,407,337,618","$1,055,363,286","$1,106,621,023","$3,141,002,478","$4,792,801,621","$8,561,363",,,"$1,437,141,782","$1,445,703,145","$897,285,980",,"$234,197,497","$1,131,483,477","$2,577,186,622","$1,811,253,578","$360,072,836","$44,288,585","$2,215,614,999","$4,792,801,621","$1,423,214,699",,"$5,810,269,564",,,"$36,598,249","$7,270,082,512","$99,512,729",,"$120,865,652","($54,534)",,"$220,323,847","$7,490,406,359","$1,652,721,396",,"$116,296,434","$23,045,096","$43,501,711","$5,517,126,778",,"$7,352,691,415","$137,714,944",,"$4,332,330","$142,047,274","$3,520,630",,"$145,567,904",-1.1%,2.9%,1.8%,49,73,1.1,33,12,6%,4.9,37.8%,33.1%
13159,Cambridge Health Alliance,HHS,13159,2024,Jun 30,5,12,"07/01/2023-06/30/2024
",365,"$306,521,702",,,"$36,886,507",,"$14,974,111","$30,182,022","$388,564,342","$6,410,442",,,,"$835,166,829","$604,551,770","$230,615,059","$95,548,488","$332,573,989","$721,138,331","$12,731,231","$6,039,013",,"$141,959,867","$160,730,111","$56,023,126",,"$224,363,536","$280,386,662","$441,116,773","$272,130,428",,"$7,891,130","$280,021,558","$721,138,331","$430,553,227","$93,559,200","$464,154,987",,,,"$988,267,414","$8,661,408","$35,755,015",,"$8,457,236",,"$52,873,659","$1,041,141,073","$616,520,204","$6,622,520","$41,151,630","$2,205,239","$1,395,663","$366,837,071",,"$1,034,732,327","$6,408,746",,,"$6,408,746",,,"$6,408,746",-4.5%,5.1%,0.6%,31,57,2.4,113,15,22%,3.3,37.7%,17.1%
3109,"Cape Cod Healthcare, Inc.",HHS,3109,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$46,795,776","$78,643,220","$6,484,001","$105,526,798",,,"$52,075,272","$289,525,067","$73,130,496","$11,359,772",,,"$1,040,396,373","$582,049,415","$458,346,958","$531,898,153","$1,074,735,379","$1,364,260,446","$9,710,786","$16,873,353",,"$198,196,219","$224,780,358","$73,987,453",,"$68,437,739","$142,425,192","$367,205,550","$902,542,455","$94,512,441",,"$997,054,896","$1,364,260,446","$1,054,662,005",,"$73,436,534",,,"$2,065,950","$1,130,164,489","$10,004,137","$8,889,927","($1,676)","$80,209,037",,"$99,101,425","$1,229,265,914","$693,647,488",,"$37,437,591","$786,656","$16,437,472","$396,253,500",,"$1,144,562,707","$84,703,207",,"$9,283,258","$93,986,465",,,"$93,986,465",-1.2%,8.1%,6.9%,37,69,1.3,41,16,41%,11.7,66.2%,7.6%
13155,"Dana-Farber Cancer Institute, Inc. and Subsidiaries",HHS,13155,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$81,120,934",,"$800,408","$299,973,546",,,"$380,099,106","$761,993,994",,"$51,901,623",,,"$2,281,047,728","$1,295,184,618","$985,863,110","$3,545,352,532","$4,583,117,266","$5,345,111,259","$99,853,899","$69,901,190",,"$457,884,271","$627,639,359","$447,218,813",,"$359,171,696","$806,390,509","$1,434,029,868","$2,005,198,801","$1,583,873,609","$322,008,980","$3,911,081,391","$5,345,111,259","$2,609,273,328",,"$351,963,925",,,"$180,616,488","$3,141,853,741","$1,680,326","$311,874,510","$155,034,521","$13,126,382",,"$481,715,739","$3,623,569,481","$1,082,475,983",,"$90,093,808","$21,155,047","$15,291,995","$2,157,680,086",,"$3,366,696,920","$256,872,560",,"$12,236,546","$269,109,106","$880,339",,"$269,989,445",-6.2%,13.3%,7.1%,42,63,1.2,9,14,18%,1.8,37.5%,18.2%
12776,"Emerson Health System, Inc. and Subsidiaries",HHS,12776,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$21,967,554",,,"$42,942,582",,"$1,150,101","$50,847,553","$116,907,790","$9,294,240",,,,"$350,372,331","$237,601,342","$112,770,989","$62,037,862","$184,103,091","$301,010,881","$51,752,619",,,"$60,708,889","$112,461,508","$54,829,113",,"$20,736,294","$75,565,407","$188,026,915","$95,588,362","$17,395,604",,"$112,983,966","$301,010,881","$347,376,478",,"$33,051,153","$2,217,427",,"$2,803,831","$385,448,889","$1,429,480",,"($658,953)","($1,958,751)",,"($1,188,224)","$384,260,665","$203,551,187",,"$11,441,168","$2,378,928","$4,909,824","$145,874,522",,"$368,155,629","$16,105,036",,,"$16,105,036","($154,148)",,"$15,950,888",4.5%,-0.3%,4.2%,45,116,1.0,22,21,17%,0.6,31.8%,36.5%
12807,"Heywood Healthcare System, Inc.",HHS,12807,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$11,414,003",,,"$26,348,263",,,"$51,283,476","$89,045,742","$7,979,568",,,,"$192,690,422","$110,798,212","$81,892,210","$16,357,836","$106,229,614","$195,275,356","$2,507,026","$1,747,834",,"$83,858,582","$88,113,442","$68,875,238",,"$40,436,596","$109,311,834","$197,425,276","($9,594,001)","$5,049,454","$2,394,627","($2,149,920)","$195,275,356","$204,343,822",,"$39,937,748",,,,"$244,281,570","$81,955",,,,,"$81,955","$244,363,525","$117,026,020",,"$5,740,127","$1,597,492","$3,427,210","$126,788,070",,"$254,578,919","($10,215,394)","($804,540)",,"($11,019,934)",,,"($11,019,934)",-4.2%,0.0%,-4.2%,47,128,1.0,17,19,-3%,-0.7,-4.9%,116.2%
