Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"," FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Excess of Revenue, Gains and Other Support Over Expenses (Without COVID-19 Relief Funds)", FINANCIAL METRICS (Without COVID-19 Relief Funds) Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Non-Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Margin (Without COVID-19 Relief Funds)
6309,Berkshire Medical Center,AcuteHospital,3106,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$147,441,176 ",,"$3,801,645 ","$56,149,008 ",,,,"$26,212,786 ","$233,604,615 ","$273,487,333 ",,,,"$662,167,488 ","$456,161,495 ","$206,005,993 ","$18,975,009 ","$498,468,335 ","$732,072,950 ","$3,068,570 ","$47,647,946 ","$31,499,142 ","$67,494,355 ","$149,710,013 ","$60,898,378 ",,"$64,286,036 ","$125,184,414 ","$274,894,427 ","$422,433,000 ","$26,862,321 ","$7,883,202 ","$457,178,523 ","$732,072,950 ","$410,577,568 ",,"$91,668,193 ","$14,728,625 ","$5,709,417 ",,"$522,683,803 ","$21,180,987 ",,,"$141,069 ",,"$21,322,056 ","$544,005,859 ","$274,568,810 ",,"$32,185,505 ","$2,487,278 ","$4,601,402 ","$205,288,392 ",,"$519,131,387 ","$24,874,472 ","($30,462,050)","$386,091 ","($5,201,487)",,,"($5,201,487)",0.70%,3.90%,4.60%,1.6,50,77,10.7,27.10%,62.40%,14,"$4,436,430 ",-3.20%,4.10%,0.80%
8,Fairview Hospital,AcuteHospital,3106,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$42,758 ",,"$191,631 ","$8,271,598 ","$10,637,467 ",,,"$1,585,209 ","$20,728,663 ","$30,915,567 ",,,,"$43,680,483 ","$29,698,804 ","$13,981,679 ","$22,527 ","$44,919,773 ","$65,648,436 ","$156,430 ","$11,780,752 ",,"$4,690,102 ","$16,627,284 ","$3,071,725 ",,"$7,312,312 ","$10,384,037 ","$27,011,321 ","$33,918,660 ","$4,460,213 ","$258,242 ","$38,637,115 ","$65,648,436 ","$53,957,031 ",,"$3,170,393 ","$5,554,218 ","$15,750 ",,"$62,697,392 ","$1,919,962 ",,,"$747,928 ",,"$2,667,890 ","$65,365,282 ","$35,509,100 ",,"$2,467,255 ","$125,026 ","$518,558 ","$27,525,436 ",,"$66,145,375 ","($780,093)","($2,215,745)",,"($2,995,838)",,,"($2,995,838)",-5.30%,4.10%,-1.20%,1.2,56,28,6.4,8.60%,58.90%,12,"($6,350,061)",-15.10%,4.50%,-10.60%
3106,"Berkshire Health Systems, Inc.",HHS,3106,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$162,361,785 ",,"$3,993,276 ","$68,022,115 ",,,,"$31,295,714 ","$265,672,890 ","$314,797,336 ",,,,"$441,396,993 ","$220,688,415 ","$220,708,578 ","$12,869,056 ","$548,374,970 ","$814,047,860 ","$3,225,000 ","$63,951,579 ",,"$87,745,383 ","$154,921,962 ","$63,970,103 ",,"$94,252,188 ","$158,222,291 ","$313,144,253 ","$461,439,629 ","$31,322,534 ","$8,141,444 ","$500,903,607 ","$814,047,860 ","$508,479,854 ",,"$111,158,089 ","$21,760,519 ","$5,700,167 ",,"$647,098,629 ","$23,504,278 ",,,"$1,526,043 ",,"$25,030,321 ","$672,128,950 ","$418,990,072 ",,"$34,665,845 ","$2,613,159 ","$5,119,960 ","$220,294,328 ",,"$681,683,364 ","($9,554,414)",,"($355,445)","($9,909,859)",,,"($9,909,859)",-5.10%,3.70%,-1.40%,1.7,49,51,4.7,11.50%,61.50%,6,"($37,015,100)",-9.60%,3.90%,-5.70%
11794,Berkshire Faculty Services,PhysicianOrganization,3106,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$32,558,126 ",,"$11,091,646 ","$1,477,676 ",,,"$45,127,448 ",,,,,,-,"$45,127,448 ","$53,233,518 ",,,,,"$21,118,127 ",,"$74,351,645 ","($29,224,197)","$29,224,197 ",,,,,-,-64.80%,,-64.80%,-,,,0,,,0,"($30,701,873)",-70.30%,,-70.30%
12118,Berkshire Orthopaedic Associates,PhysicianOrganization,3106,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$11,362,129 ",,"$620,129 ",,,,"$11,982,258 ",,,,,,-,"$11,982,258 ","$13,941,493 ",,,$855 ,,"$2,955,492 ",,"$16,897,840 ","($4,915,582)","$3,453,598 ","($741,536)","($2,203,520)",,,"($2,203,520)",-41.00%,,-41.00%,-,,,"-5,748.20",,,0,"($4,915,582)",-41.00%,,-41.00%
39,Cape Cod Hospital,AcuteHospital,3109,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$15,108,274 ","$121,723,441 ","$2,563,718 ","$49,234,670 ","$72,855,260 ",,,"$20,360,842 ","$281,846,205 ","$35,944,049 ",,,,"$474,812,620 ","$272,466,239 ","$202,346,381 ","$262,605,918 ","$500,896,348 ","$782,742,553 ","$9,595,986 ","$20,248,507 ","$3,912,941 ","$164,557,212 ","$198,314,646 ","$95,454,300 ",,"$665,048 ","$96,119,348 ","$294,433,994 ","$452,364,510 ","$35,944,049 ",,"$488,308,559 ","$782,742,553 ","$536,525,409 ",,"$8,354,742 ","$30,285,139 ",,"$1,425,588 ","$576,590,878 ","$3,455,196 ","$733,633 ","$115,694 ","$1,705,333 ",,"$6,009,856 ","$582,600,734 ","$298,767,333 ",,"$33,807,667 ","$4,000,322 ","$6,751,484 ","$211,712,490 ",,"$555,039,296 ","$27,561,438 ","($27,462,429)","$1,086,529 ","$1,185,538 ",,"$7,161,592 ","$8,347,130 ",3.70%,1.00%,4.70%,1.4,33,125,4.8,20.90%,62.40%,8,"($2,723,701)",-1.60%,1.10%,-0.50%
40,Falmouth Hospital,AcuteHospital,3109,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$2,497,431 ","$31,486,142 ","$480,649 ","$13,733,599 ","$214,965 ",,,"$5,727,159 ","$54,139,945 ","$17,655,992 ",,,,"$184,200,728 ","$108,772,875 ","$75,427,853 ","$165,590,433 ","$258,674,278 ","$312,814,223 ","$2,224,296 ","$4,261,538 ","$841,294 ","$44,709,313 ","$52,036,441 ","$23,227,619 ",,,"$23,227,619 ","$75,264,060 ","$219,894,171 ","$17,655,992 ",,"$237,550,163 ","$312,814,223 ","$157,997,520 ",,"$2,397,861 ","$9,828,349 ",,"$692,755 ","$170,916,485 ","$2,202,822 ","$254,430 ",,"$1,001,867 ",,"$3,459,119 ","$174,375,604 ","$93,984,209 ",,"$7,711,089 ","$1,126,484 ","$2,215,862 ","$58,782,749 ",,"$163,820,393 ","$10,555,211 ","($8,877,446)","$746,841 ","$2,424,606 ",,"$4,670,632 ","$7,095,238 ",4.10%,2.00%,6.10%,1,32,112,5.8,24.30%,75.90%,14,"$726,862 ",-1.70%,2.10%,0.40%
3109,"Cape Cod Healthcare, Inc.",HHS,3109,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$75,883,420 ","$202,110,781 ","$8,179,557 ","$80,313,108 ",,,,"$49,808,000 ","$416,294,866 ","$59,485,876 ","$7,225,426 ",,,"$813,457,553 ","$454,346,056 ","$359,111,497 ","$526,273,259 ","$952,096,058 ","$1,368,390,924 ","$12,135,191 ","$24,571,085 ",,"$313,678,708 ","$350,384,984 ","$122,443,308 ",,"$51,096,321 ","$173,539,629 ","$523,924,613 ","$772,039,932 ","$72,426,379 ",,"$844,466,311 ","$1,368,390,924 ","$833,337,773 ",,"$52,056,208 ","$52,074,339 ",,"$2,926,535 ","$940,394,855 ","$6,752,250 ","$4,038,588 ","$115,694 ","$4,645,675 ",,"$15,552,207 ","$955,947,062 ","$576,107,785 ",,"$56,674,202 ","$5,442,134 ","$8,967,346 ","$304,064,128 ",,"$951,255,595 ","$4,691,467 ",,"$3,211,592 ","$7,903,059 ",,"$12,622,572 ","$20,525,631 ",-1.10%,1.60%,0.50%,1.2,35,133,3.8,13.00%,61.70%,8,"($47,382,872)",-7.00%,1.70%,-5.20%
11810,Medical Affiliates of Cape Cod Inc,PhysicianOrganization,3109,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$76,227,440 ",,"$1,355,930 ","$2,390,406 ",,"$11,320 ","$79,985,096 ",,,,,,-,"$79,985,096 ","$85,297,706 ",,"$2,686,590 ",$337 ,,"$27,510,248 ",,"$115,494,881 ","($35,509,785)","$35,509,785 ",,,,,-,-44.40%,,-44.40%,-,,,"-97,397.20",,,0,"($37,900,191)",-48.80%,,-48.80%
91,Massachusetts General Hospital,AcuteHospital,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$588,540,000 ","$14,034,000 ","$128,671,000 ","$325,063,000 ",,,"$21,433,000 ","$175,831,000 ","$1,253,572,000 ","$261,114,000 ","$47,629,000 ","$1,339,271,000 ",,"$4,077,867,000 ","$2,278,521,000 ","$1,799,346,000 ","$485,214,000 ","$3,932,574,000 ","$5,186,146,000 ","$53,429,000 ","$372,636,000 ","$101,055,000 ","$481,612,000 ","$1,008,732,000 ","$612,803,000 ",,"$754,009,000 ","$1,366,812,000 ","$2,375,544,000 ","$1,382,012,000 ","$1,428,590,000 ",,"$2,810,602,000 ","$5,186,146,000 ","$2,954,608,000 ",,"$1,360,745,000 ","$202,936,000 ","$19,000 ",,"$4,518,308,000 ","$755,000 ","$2,000 ",,"($260,000)",,"$497,000 ","$4,518,805,000 ","$1,562,693,000 ",,"$221,831,000 ","$27,521,000 ","$27,325,000 ","$2,443,146,000 ",,"$4,282,516,000 ","$236,289,000 ","($209,279,000)","$27,345,000 ","$54,355,000 ","($2,613,000)",,"$51,742,000 ",5.20%,,5.20%,1.2,40,57,6,28.30%,54.20%,10,"$33,334,000 ",0.80%,,0.80%
