Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"," FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Excess of Revenue, Gains and Other Support Over Expenses (Without COVID-19 Relief Funds)", FINANCIAL METRICS (Without COVID-19 Relief Funds) Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Non-Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Margin (Without COVID-19 Relief Funds)
6309,Berkshire Medical Center,AcuteHospital,3106,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$157,791,189",,,"$52,355,376","$7,053,575",,"$25,625,991","$242,826,131","$327,213,980",,,,"$682,584,359","$489,310,599","$193,273,760","$19,613,430","$540,101,170","$782,927,301",,"$82,780,256","$22,316,718","$62,571,634","$167,668,608","$55,026,720",,"$19,375,969","$74,402,689","$242,071,297","$501,052,147","$31,920,655","$7,883,202","$540,856,004","$782,927,301","$491,123,631",,"$82,786,355","$12,981,673","$194,176","$249,185","$587,335,020","$30,495,157",,,"$24,170,792",,"$54,665,949","$642,000,969","$283,250,237",,"$33,228,416","$2,059,122","$4,195,805","$222,567,359",,"$545,300,939","$96,700,030","($18,228,398)","$147,515","$78,619,147",,,"$78,619,147",6.5%,8.5%,15.1%,1.4,39,61,64.1,58.3%,69.1%,15,"$83,524,181",4.6%,8.7%,13.3%
8,Fairview Hospital,AcuteHospital,3106,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$6,137,117",,,"$8,632,371","$16,030,490",,"$2,024,075","$32,824,053","$36,868,173",,,,"$45,411,919","$32,198,291","$13,213,628","$730,285","$50,812,086","$83,636,139",,"$17,605,108",,"$5,861,746","$23,466,854","$2,774,811",,"$2,098,611","$4,873,422","$28,340,276","$49,510,287","$5,527,334","$258,242","$55,295,863","$83,636,139","$68,434,900",,"$4,568,389","$4,201,756","$30,000","$16,380","$77,251,425","$3,016,435",,,"$2,737,213",,"$5,753,648","$83,005,073","$38,581,189",,"$2,503,707","$103,799","$548,726","$25,771,546",,"$67,508,967","$15,496,106","($201,462)","$296,983","$15,591,627",,,"$15,591,627",11.7%,6.9%,18.7%,1.4,46,33,174.4,68.6%,66.1%,13,"$11,264,350",7.0%,7.3%,14.3%
3106,"Berkshire Health Systems, Inc.",HHS,3106,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$192,217,630",,,"$65,218,752",,,"$32,842,239","$290,278,621","$377,524,468",,,,"$733,039,260","$525,914,245","$207,125,015","$21,822,753","$606,472,236","$896,750,857",,"$102,595,369",,"$84,560,795","$187,156,164","$57,801,531",,"$49,477,372","$107,278,903","$294,435,067","$556,726,357","$37,447,989","$8,141,444","$602,315,790","$896,750,857","$618,866,729",,"$104,242,738","$17,353,702","$224,176","$265,565","$740,952,910","$34,432,209",,,"$39,700,041",,"$74,132,250","$815,085,160","$437,528,459",,"$35,830,275","$2,168,232","$4,744,531","$240,224,533",,"$720,496,030","$94,589,130",,"$697,598","$95,286,728",,,"$95,286,728",2.5%,9.1%,11.6%,1.6,38,45,61.2,53.2%,67.2%,15,"$77,011,252",0.4%,9.3%,9.7%
11794,Berkshire Faculty Services,PhysicianOrganization,3106,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$44,302,340",,"$8,043,600","$170,273",,,"$52,516,213",,,,"$5,886,057",,"$5,886,057","$58,402,270","$54,113,046",,,,,"$17,126,625",,"$71,239,671","($12,837,401)","$12,837,401",,,,,-,-32.1%,10.1%,-22.0%,-,,,0.0,,,0,"($13,007,674)",-32.4%,10.1%,-22.3%
12118,Berkshire Orthopaedic Associates,PhysicianOrganization,3106,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$9,686,104",,"$381,712",,,,"$10,067,816",,,,,,-,"$10,067,816","$10,660,212",,,$11,,"$2,163,539",,"$12,823,762","($2,755,946)","$3,310,362",,"$554,416",,,"$554,416",-27.4%,,-27.4%,-,,,"(250,539.5)",,,0,"($2,755,946)",-27.4%,,-27.4%
39,Cape Cod Hospital,AcuteHospital,3109,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$12,140,469","$84,223,442","$1,926,458","$58,178,412","$91,380,268",,"$22,118,178","$269,967,227","$46,324,090",,,,"$477,813,332","$290,084,160","$187,729,172","$277,382,758","$511,436,020","$781,403,247","$10,975,943","$19,953,749","$16,328,720","$135,733,505","$182,991,917","$83,157,970",,"$2,263,223","$85,421,193","$268,413,110","$466,666,047","$46,324,090",,"$512,990,137","$781,403,247","$583,967,563",,"$9,471,478","$11,620,084",,"$1,670,357","$606,729,482","$2,795,206","$889,039","$321,815","$16,700,586",,"$20,706,646","$627,436,128","$310,230,231",,"$19,978,024","$3,381,447","$5,663,924","$235,451,643",,"$574,705,269","$52,730,859","($40,447,796)","$2,018,474","$14,301,537",,,"$14,301,537",5.1%,3.3%,8.4%,1.5,36,107,5.3,27.3%,65.6%,15,"$41,110,775",3.3%,3.4%,6.7%
40,Falmouth Hospital,AcuteHospital,3109,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$787,107","$31,486,142","$246,488","$15,407,345","$4,138,593",,"$5,643,559","$57,709,234","$17,474,231",,,,"$185,085,439","$114,910,337","$70,175,102","$184,510,494","$272,159,827","$329,869,061","$3,207,784","$4,196,086","$18,044,262","$36,395,377","$61,843,509","$19,424,698",,"$983,193","$20,407,891","$82,251,400","$230,143,430","$17,474,231",,"$247,617,661","$329,869,061","$161,074,834",,"$2,450,981","$3,858,711",,"$664,606","$168,049,132","$1,815,680","$969,390",,"$19,402,066",,"$22,187,136","$190,236,268","$91,512,097",,"$7,107,183","$890,283","$2,345,770","$64,175,120",,"$166,030,453","$24,205,815","($13,004,901)","($951,655)","$10,249,259",,,"$10,249,259",1.1%,11.7%,12.7%,0.9,35,132,7.9,38.5%,75.1%,16,"$20,347,104",-1.0%,11.9%,10.9%
3109,"Cape Cod Healthcare, Inc.",HHS,3109,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$51,813,764","$173,802,037","$14,036,586","$88,754,351",,,"$50,931,973","$379,338,711","$66,557,334","$13,044,386",,,"$824,797,271","$490,290,424","$334,506,847","$570,514,770","$984,623,337","$1,363,962,048","$14,530,556","$24,149,835",,"$256,440,122","$295,120,513","$105,980,970",,"$69,871,542","$175,852,512","$470,973,025","$808,868,458","$84,120,565",,"$892,989,023","$1,363,962,048","$881,435,233",,"$52,915,201","$17,243,886",,"$2,993,473","$954,587,793","$10,762,212","$7,420,224","$321,815","$25,893,350",,"$44,397,601","$998,985,394","$579,132,545",,"$43,333,786","$4,587,133","$8,009,694","$330,825,459",,"$965,888,617","$33,096,777",,"$3,731,749","$36,828,526",,,"$36,828,526",-1.1%,4.4%,3.3%,1.3,37,107,4.2,19.1%,65.5%,11,"$15,852,891",-2.9%,4.5%,1.6%
11810,Medical Affiliates of Cape Cod Inc,PhysicianOrganization,3109,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$76,245,839",,"$1,103,996","$933,373",,"$12,585","$78,295,793",,,,"($14,060,503)",,"($14,060,503)","$64,235,290","$87,928,965",,"$687,203",,,"$27,638,724",,"$116,254,892","($52,019,602)","$52,019,602",,,,,-,-59.1%,-21.9%,-81.0%,-,,,0.0,,,0,"($52,952,975)",-61.4%,-22.2%,-83.7%
91,Massachusetts General Hospital,AcuteHospital,3791,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$42,091,000","$14,961,000","$144,683,000","$432,005,000",,"$19,671,000","$203,407,000","$856,818,000","$328,681,000","$40,265,000","$2,003,418,000",,"$4,224,113,000","$2,440,107,000","$1,784,006,000","$463,967,000","$4,620,337,000","$5,477,155,000","$59,614,000","$271,718,000","$79,457,000","$632,330,000","$1,043,119,000","$526,420,000",,"$713,401,000","$1,239,821,000","$2,282,940,000","$1,105,361,000","$2,088,854,000",,"$3,194,215,000","$5,477,155,000","$3,376,489,000",,"$1,536,963,000","$82,414,000","$163,000",,"$4,996,029,000","$5,452,000",,,"($247,000)",,"$5,205,000","$5,001,234,000","$1,762,382,000",,"$228,926,000","$24,874,000","$26,385,000","$2,717,418,000",,"$4,759,985,000","$241,249,000","($547,497,000)","$31,859,000","($274,389,000)","($2,262,000)",,"($276,651,000)",4.7%,0.1%,4.8%,0.8,47,62,5.9,30.0%,58.3%,11,"$158,672,000",3.1%,0.1%,3.2%
